# Layer 2 expected outputs (pre-maxpool)
# M=0x2BC, n=16
# Format: OG, row, col, ch0, ch1, ..., ch7

og0 [  0,  0]:  127   -2   10  -22  -43   78  -16  -15
og0 [  0,  1]:   -6   -3   73   -3  -57   68  -24  -20
og0 [  0,  2]:  -28    5   74   -9  -37   -4  -26  -17
og0 [  0,  3]:  -28   14  -15  -17  -41   27  -23  -10
og0 [  0,  4]:   38   -1   -8  -44  -51   57  -29  -13
og0 [  0,  5]:   -9   -4   29  -13  -55   86  -23  -14
og0 [  0,  6]:   31   -7  127  124  -48   72  -21  -18
og0 [  0,  7]:  -13   -3   -4  -11  -50   24  -15  -16
og1 [  0,  0]:  -20  -10  -25   -6   52  -24  -24  -22
og1 [  0,  1]:  -26   -6  -13   -6   27  -14  -38  -50
og1 [  0,  2]:  -36   -2  -43   -6   20  -38  -26  -50
og1 [  0,  3]:  -35   -2  -36   -7   26  -12  -28  -51
og1 [  0,  4]:  -31   -2  -33   -5   38   -9  -36  -58
og1 [  0,  5]:  -31    8  -39   -6   51  -31  -43  -50
og1 [  0,  6]:  -30   -1   -7  -10   42  -32  -24  -45
og1 [  0,  7]:  -50    2  -20  -10   37  -20  -10  -57
